identifiant;Prénom;Nom;Région;Département;Numéro de circonscription;Profession;Groupe politique (complet);Groupe politique (abrégé)
793398;Jérémie;Patrier-Leitus;Normandie;Calvados;3;Cadre de la fonction publique;Horizons et apparentés;HOR
607553;Dominique;Potier;Grand Est;Meurthe-et-Moselle;5;Agriculteur;Socialistes et apparentés;SOC
718784;Éric;Pauget;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;7;Autre cadre (secteur privé);Les Républicains;LR
721608;Jean-Louis;Bourlanges;Ile-de-France;Hauts-de-Seine;12;Retraité de la fonction publique;Démocrate (MoDem et Indépendants);Dem
717161;Élisabeth;Borne;Normandie;Calvados;6;Ingénieur et cadre technique d'entreprise;Renaissance;RE
795528;Charles;Rodwell;Ile-de-France;Yvelines;1;Cadre de la fonction publique;Renaissance;RE
720146;Denis;Masséglia;Pays de la Loire;Maine-et-Loire;5;Ingénieur Arts et métiers;Renaissance;RE
794894;Anaïs;Sabatini;Occitanie;Pyrénées-Orientales;2;Avocate;Rassemblement National;RN
642788;Olivier;Véran;Auvergne-Rhône-Alpes;Isère;1;Médecin neurologue hospitalier;Renaissance;RE
795466;Ersilia;Soudais;Ile-de-France;Seine-et-Marne;7;Professeur, profession scientifique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
719922;Lionel;Causse;Nouvelle-Aquitaine;Landes;2;Autre cadre (secteur privé);Renaissance;RE
330008;Xavier;Breton;Auvergne-Rhône-Alpes;Ain;1;Cadre territorial;Les Républicains;LR
795778;Jean-Philippe;Tanguy;Hauts-de-France;Somme;4;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
794478;David;Guiraud;Hauts-de-France;Nord;8;Cadre administratif d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721150;Alexandre;Holroyd;Français établis hors de France;Français établis hors de France;3;Cadre;Renaissance;RE
267306;André;Chassaigne;Auvergne-Rhône-Alpes;Puy-de-Dôme;5;Retraité de l'éducation nationale;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719052;Loïc;Kervran;Centre-Val de Loire;Cher;3;Autre cadre (secteur privé);Horizons et apparentés;HOR
795326;Christopher;Weissberg;Français établis hors de France;Français établis hors de France;1;Chef d'entreprise;Renaissance;RE
722252;Marie-Pierre;Rixain;Ile-de-France;Essonne;4;Consultante en communication;Renaissance;RE
2960;Éric;Woerth;Hauts-de-France;Oise;4;Associé dans un cabinet d'audit international;Renaissance;RE
342415;Marie-Noëlle;Battistel;Auvergne-Rhône-Alpes;Isère;4;Autre cadre (secteur privé);Socialistes et apparentés;SOC
795580;Florian;Chauche;Bourgogne-Franche-Comté;Territoire de Belfort;2;Fonctionnaire territorial - Agent du service courrier;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720066;Stéphanie;Rist;Centre-Val de Loire;Loiret;1;Médecin;Renaissance;RE
795136;Jean-François;Coulomme;Auvergne-Rhône-Alpes;Savoie;4;Ingénieur commercial;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
677483;Stéphane;Mazars;Occitanie;Aveyron;1;Avocat;Renaissance;RE
721722;Hadrien;Ghomi;Ile-de-France;Seine-et-Marne;8;Cadre de la fonction publique;Renaissance;RE
718838;Fabrice;Brun;Auvergne-Rhône-Alpes;Ardèche;3;Industriel-Chef d'entreprise;Les Républicains;LR
795406;Isabelle;Périgault;Ile-de-France;Seine-et-Marne;4;Directrice administrative;Les Républicains;LR
794138;Ségolène;Amiot;Pays de la Loire;Loire-Atlantique;3;Employé administratif d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794650;Jean-Marc;Tellier;Hauts-de-France;Pas-de-Calais;3;Ancien cadre;Gauche démocrate et républicaine - NUPES;GDR - NUPES
794082;Mathilde;Hignet;Bretagne;Ille-et-Vilaine;4;Ouvrière agricole;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
333421;Bertrand;Pancher;Grand Est;Meuse;1;Directeur du développement;Libertés, Indépendants, Outre-mer et Territoires;LIOT
722202;Sébastien;Jumel;Normandie;Seine-Maritime;6;Cadre de la fonction publique;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719624;Bérangère;Couillard;Nouvelle-Aquitaine;Gironde;7;Autre cadre (secteur privé);Renaissance;RE
793964;Grégoire;de Fournas;Nouvelle-Aquitaine;Gironde;5;Viticulteur;Rassemblement National;RN
267794;Michèle;Tabarot;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;9;Chef d'entreprise;Les Républicains;LR
795540;Daniel;Grenon;Bourgogne-Franche-Comté;Yonne;1;Ancien artisan, commerçant, chef d'entreprise;Rassemblement National;RN
793194;Lionel;Vuibert;Grand Est;Ardennes;1;Cadre d'entreprise de 10 salariés ou plus;Renaissance;RE
796118;Bénédicte;Auzanot;Provence-Alpes-Côte d'Azur;Vaucluse;2;;Rassemblement National;RN
331835;Monique;Iborra;Occitanie;Haute-Garonne;6;Retraitée de la Fonction publique;Renaissance;RE
718674;Olga;Givernet;Auvergne-Rhône-Alpes;Ain;3;Ingénieure aéronautique;Renaissance;RE
721530;Aude;Luquet;Ile-de-France;Seine-et-Marne;1;Autre profession;Démocrate (MoDem et Indépendants);Dem
719756;Christine;Le Nabour;Bretagne;Ille-et-Vilaine;5;Employée (secteur privé);Renaissance;RE
795278;Béatrice;Bellamy;Pays de la Loire;Vendée;2;Cadre administratif et commercial d'entreprise;Horizons et apparentés;HOR
794030;Alexis;Jolly;Auvergne-Rhône-Alpes;Isère;6;Commerçant et assimilé;Rassemblement National;RN
795596;Paul;Vannier;Ile-de-France;Val-d'Oise;5;Professeur d'histoire-géographie;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795144;Antoine;Armand;Auvergne-Rhône-Alpes;Haute-Savoie;2;Cadre de la fonction publique;Renaissance;RE
795076;Sandrine;Rousseau;Ile-de-France;Paris;9;Professeur, profession scientifique;Écologiste - NUPES;Ecolo - NUPES
793832;Yoann;Gillet;Occitanie;Gard;1;Cadre de la fonction publique;Rassemblement National;RN
721202;Éric;Coquerel;Ile-de-France;Seine-Saint-Denis;1;Industriel-Chef d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795410;Béatrice;Roullaud;Ile-de-France;Seine-et-Marne;6;Profession libérale;Rassemblement National;RN
722398;Rémy;Rebeyrotte;Bourgogne-Franche-Comté;Saône-et-Loire;3;Professeur d'économie;Renaissance;RE
822617;Martine;Froger;Occitanie;Ariège;1;Chef d'entreprise;Libertés, Indépendants, Outre-mer et Territoires;LIOT
722000;Stéphane;Buchou;Pays de la Loire;Vendée;3;Cadre supérieur (secteur privé);Renaissance;RE
606098;Olivier;Marleix;Centre-Val de Loire;Eure-et-Loir;2;Fonctionnaire de catégorie A;Les Républicains;LR
345722;Constance;Le Grip;Ile-de-France;Hauts-de-Seine;6;Conseillère parlementaire;Renaissance;RE
795216;Jean-François;Lovisolo;Provence-Alpes-Côte d'Azur;Vaucluse;5;Maire;Renaissance;RE
1327;Nicolas;Forissier;Centre-Val de Loire;Indre;2;Chef d'entreprise;Les Républicains;LR
794762;Sandrine;Dogor-Such;Occitanie;Pyrénées-Orientales;3;Préparatrice en pharmacie;Rassemblement National;RN
793904;Aurélien;Lopez-Liguori;Occitanie;Hérault;7;Attaché parlementaire;Rassemblement National;RN
720838;Soumya;Bourouaha;Ile-de-France;Seine-Saint-Denis;4;Professeure;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719968;Sylvie;Bonnet;Auvergne-Rhône-Alpes;Loire;4;Collaboratrice parlementaire;Les Républicains;LR
719190;Philippe;Frei;Bourgogne-Franche-Comté;Côte-d'Or;3;Cadre du secteur privé;Renaissance;RE
608826;Virginie;Duby-Muller;Auvergne-Rhône-Alpes;Haute-Savoie;4;Cadre du secteur privé;Les Républicains;LR
642764;Joël;Aviragnet;Occitanie;Haute-Garonne;8;Directeur d'un établissement pour l'enfance handicapée;Socialistes et apparentés;SOC
605036;Damien;Abad;Auvergne-Rhône-Alpes;Ain;5;Sans profession déclarée;Renaissance;RE
793708;Sébastien;Peytavie;Nouvelle-Aquitaine;Dordogne;4;Profession intermédiaire de la santé et du travail social;Écologiste - NUPES;Ecolo - NUPES
795926;Emmanuel;Pellerin;Ile-de-France;Hauts-de-Seine;9;Profession libérale;Renaissance;RE
719866;Caroline;Abadie;Auvergne-Rhône-Alpes;Isère;8;Industriel-Chef entreprise;Renaissance;RE
794838;Didier;Lemaire;Grand Est;Haut-Rhin;3;Employé civil et agent de service de la fonction publique;Horizons et apparentés;HOR
719118;François;Cormier-Bouligeon;Centre-Val de Loire;Cher;1;Conseiller ministériel;Renaissance;RE
721210;Alexis;Corbière;Ile-de-France;Seine-Saint-Denis;7;Professeur de lycée professionnel;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720696;Béatrice;Descamps;Hauts-de-France;Nord;21;Enseignant 1er deg.-directeur école;Libertés, Indépendants, Outre-mer et Territoires;LIOT
795722;Karl;Olive;Ile-de-France;Yvelines;12;Chef d'entreprise;Renaissance;RE
794426;Anne;Le Hénanff;Bretagne;Morbihan;1;Consultante indépendante;Horizons et apparentés;HOR
721760;Maud;Gatel;Ile-de-France;Paris;11;Directrice générale adjointe d'une agence de communication;Démocrate (MoDem et Indépendants);Dem
793844;Pascale;Bordes;Occitanie;Gard;3;Profession libérale ;Rassemblement National;RN
719032;Bertrand;Bouyx;Normandie;Calvados;5;Pharmacien;Horizons et apparentés;HOR
796062;Thomas;Portes;Ile-de-France;Seine-Saint-Denis;3;cheminot;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794974;Louis;Margueritte;Bourgogne-Franche-Comté;Saône-et-Loire;5;Cadre de la fonction publique;Renaissance;RE
795998;Emeline;K/Bidi;Réunion;Réunion;4;Avocate;Gauche démocrate et républicaine - NUPES;GDR - NUPES
720162;Philippe;Bolo;Pays de la Loire;Maine-et-Loire;7;Ingénieur;Démocrate (MoDem et Indépendants);Dem
794906;Gabriel;Amard;Auvergne-Rhône-Alpes;Rhône;6;Cadre administratif et commercial d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
610654;Jean-Philippe;Nilor;Martinique;Martinique;4;Collaborateur parlementaire;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795228;Nadège;Abomangoli;Ile-de-France;Seine-Saint-Denis;10;Contrôleure interne et risk manager;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
794778;Sandra;Regol;Grand Est;Bas-Rhin;1;;Écologiste - NUPES;Ecolo - NUPES
795794;Francesca;Pasquini;Ile-de-France;Hauts-de-Seine;2;Professeur des écoles, instituteur et assimilé;Écologiste - NUPES;Ecolo - NUPES
794718;Christine;Engrand;Hauts-de-France;Pas-de-Calais;6;Cadre administratif et commercial d'entreprise;Rassemblement National;RN
719272;Frédérique;Meunier;Nouvelle-Aquitaine;Corrèze;2;Avocate;Les Républicains;LR
795672;Arnaud;Le Gall;Ile-de-France;Val-d'Oise;9;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721458;Xavier;Roseren;Auvergne-Rhône-Alpes;Haute-Savoie;6;Commerçant;Renaissance;RE
794590;Alexandre;Loubet;Grand Est;Moselle;7;Cadre d'entreprise;Rassemblement National;RN
794314;Mathilde;Paris;Centre-Val de Loire;Loiret;3;Chef d'entreprise de 10 salariés ou plus;Rassemblement National;RN
605963;Éric;Alauzet;Bourgogne-Franche-Comté;Doubs;2;Médecin;Renaissance;RE
793270;Jean-François;Rousset;Occitanie;Aveyron;3;Chirurgien;Renaissance;RE
643157;Philippe;Naillet;Réunion;Réunion;1;Inspecteur assurance-vie;Socialistes et apparentés;SOC
795482;Manon;Meunier;Nouvelle-Aquitaine;Haute-Vienne;3;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
793588;Nicolas;Pacquot;Bourgogne-Franche-Comté;Doubs;3;Ingénieur et cadre technique d'entreprise;Renaissance;RE
794562;Philippe;Ballard;Hauts-de-France;Oise;2;Ancien journaliste;Rassemblement National;RN
793532;Murielle;Lepvraud;Bretagne;Côtes-d'Armor;4;Employé administratif d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
335999;Delphine;Batho;Nouvelle-Aquitaine;Deux-Sèvres;2;Cadre territorial;Écologiste - NUPES;Ecolo - NUPES
794442;Laurence;Robert-Dehault;Grand Est;Haute-Marne;2;Profession libérale ;Rassemblement National;RN
2449;Jean-Pierre;Pont;Hauts-de-France;Pas-de-Calais;5;Médecin;Renaissance;RE
330909;Vincent;Descoeur;Auvergne-Rhône-Alpes;Cantal;1;Professeur agrégé de biologie;Les Républicains;LR
720342;Nicole;Le Peih;Bretagne;Morbihan;3;Agricultrice;Renaissance;RE
718962;Jean-Marc;Zulesi;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;8;Autre cadre (secteur privé);Renaissance;RE
795552;Julien;Odoul;Bourgogne-Franche-Comté;Yonne;3;Collaborateur parlementaire;Rassemblement National;RN
720190;Bertrand;Sorre;Normandie;Manche;2;Enseignant 1er degré-directeur d'école (en disponibilité);Renaissance;RE
722366;Jean-Luc;Fugit;Auvergne-Rhône-Alpes;Rhône;11;Professeur de faculté;Renaissance;RE
719396;Jean-Charles;Larsonneur;Bretagne;Finistère;2;Diplomate;Non inscrit;NI
642935;Olivier;Becht;Grand Est;Haut-Rhin;5;Magistrat;Renaissance;RE
2952;Jean-Luc;Warsmann;Grand Est;Ardennes;3;Directeur de mutuelle;Libertés, Indépendants, Outre-mer et Territoires;LIOT
795876;Davy;Rimane;Guyane;Guyane;2;Technicien;Gauche démocrate et républicaine - NUPES;GDR - NUPES
720754;Bruno;Studer;Grand Est;Bas-Rhin;3;Professeur du secondaire et technique;Renaissance;RE
794206;Christophe;Marion;Centre-Val de Loire;Loir-et-Cher;3;Délégué général du Comité des travaux historiques et scientifiques;Renaissance;RE
795774;Ingrid;Dordain;Hauts-de-France;Somme;2;Cheffe de service socio-éducatif;Renaissance;RE
793944;Alexandra;Martin (Gironde);Nouvelle-Aquitaine;Gironde;1;RESPONSABLE CENTRE DE FORMATION;Renaissance;RE
795808;Sabrina;Sebaihi;Ile-de-France;Hauts-de-Seine;4;Profession libérale;Écologiste - NUPES;Ecolo - NUPES
794502;Michaël;Taverne;Hauts-de-France;Nord;12;Policier et militaire;Rassemblement National;RN
643089;Jean-Louis;Thiériot;Ile-de-France;Seine-et-Marne;3;Avocat;Les Républicains;LR
342240;Jean-Luc;Bourgeaux;Bretagne;Ille-et-Vilaine;7;Agriculteur;Les Républicains;LR
719286;Paul-André;Colombani;Corse;Corse-du-Sud;2;Médecin;Libertés, Indépendants, Outre-mer et Territoires;LIOT
793528;Chantal;Bouloux;Bretagne;Côtes-d'Armor;2;Directrice d'Ehpad;Renaissance;RE
721976;Bruno;Millienne;Ile-de-France;Yvelines;9;Cadre supérieur (secteur privé);Démocrate (MoDem et Indépendants);Dem
720552;Isabelle;Rauch;Grand Est;Moselle;9;Consultante;Horizons et apparentés;HOR
720932;Dominique;Da Silva;Ile-de-France;Val-d'Oise;7;Industriel-Chef d'entreprise;Renaissance;RE
794330;Anthony;Brosse;Centre-Val de Loire;Loiret;5;Profession intermédiaire de la santé et du travail social;Renaissance;RE
718910;Claire;Colomb-Pitollat;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;2;Ingénieure;Renaissance;RE
721482;David;Valence;Grand Est;Vosges;2;Professeur agrégé;Renaissance;RE
1592;David;Habib;Nouvelle-Aquitaine;Pyrénées-Atlantiques;3;Cadre;Non inscrit;NI
795422;Damien;Maudet;Nouvelle-Aquitaine;Haute-Vienne;1;Cadre administratif et commercial d'entreprise;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720038;Sandrine;Josso;Pays de la Loire;Loire-Atlantique;7;Autre profession libérale;Démocrate (MoDem et Indépendants);Dem
795746;Antoine;Léaument;Ile-de-France;Essonne;10;Responsable de la communication numérique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
722070;Pierre;Henriet;Pays de la Loire;Vendée;5;Professeur du secondaire et technique;Horizons et apparentés;HOR
794678;Thierry;Frappé;Hauts-de-France;Pas-de-Calais;10;Profession libérale;Rassemblement National;RN
718978;Mohamed;Laqhila;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;11;Expert-Comptable-Commissaire aux Comptes;Démocrate (MoDem et Indépendants);Dem
794386;Lysiane;Métayer;Bretagne;Morbihan;5;Cadre de la fonction publique;Renaissance;RE
719798;Daniel;Labaronne;Centre-Val de Loire;Indre-et-Loire;2;Retraité de l'enseignement supérieur;Renaissance;RE
793362;José;Gonzalez;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;10;Ancien employé;Rassemblement National;RN
720900;Cécile;Rilhac;Ile-de-France;Val-d'Oise;3;Profession rattachée à l'enseignement;Renaissance;RE
794270;Anna;Pic;Normandie;Manche;4;Professeur, profession scientifique;Socialistes et apparentés;SOC
793210;Laurent;Panifous;Occitanie;Ariège;2;Directeur d'établissements sanitaires et sociaux;Libertés, Indépendants, Outre-mer et Territoires;LIOT
794222;Annick;Cousin;Nouvelle-Aquitaine;Lot-et-Garonne;3;Agent administratif hospitalier;Rassemblement National;RN
795688;Philippe;Emmanuel;Ile-de-France;Yvelines;10;retraité;Renaissance;RE
712015;Julien;Dive;Hauts-de-France;Aisne;2;Chef de projet dans l'industrie;Les Républicains;LR
722150;Sacha;Houlié;Nouvelle-Aquitaine;Vienne;2;Avocat;Renaissance;RE
719778;François;Jolivet;Centre-Val de Loire;Indre;1;Cadre supérieur (secteur privé);Horizons et apparentés;HOR
720006;Luc;Geismar;Pays de la Loire;Loire-Atlantique;5;Directeur régional des ventes;Démocrate (MoDem et Indépendants);Dem
794734;Michel;Guiniot;Hauts-de-France;Oise;6;Ancien cadre;Rassemblement National;RN
719882;Marjolaine;Meynier-Millefert;Auvergne-Rhône-Alpes;Isère;10;Conseillère en stratégie des organisations;Renaissance;RE
721024;Anne;Genetet;Français établis hors de France;Français établis hors de France;11;Médecin;Renaissance;RE
720100;Aurélien;Pradié;Occitanie;Lot;1;Cadre supérieur (secteur privé);Les Républicains;LR
795164;Aurélie;Trouvé;Ile-de-France;Seine-Saint-Denis;9;Cadre de la fonction publique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
606507;Florent;Boudié;Nouvelle-Aquitaine;Gironde;10;Cadre supérieur du secteur public;Renaissance;RE
793298;Lionel;Tivoli;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;2;Chef d'entreprise de 10 salariés ou plus;Rassemblement National;RN
720892;Mathilde;Panot;Ile-de-France;Val-de-Marne;10;Coordinatrice de projets associatifs;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
796078;Estelle;Youssouffa;Mayotte;Mayotte;1;Consultante;Libertés, Indépendants, Outre-mer et Territoires;LIOT
795438;Rachel;Keke;Ile-de-France;Val-de-Marne;7;Personnel des services directs aux particuliers;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
720054;Yannick;Haury;Pays de la Loire;Loire-Atlantique;9;Pharmacien;Renaissance;RE
722308;Nathalie;Serre;Auvergne-Rhône-Alpes;Rhône;8;Mère au foyer;Les Républicains;LR
793102;Christian;Girard;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;1;Ancien cadre;Rassemblement National;RN
720862;Frédéric;Descrozaille;Ile-de-France;Val-de-Marne;1;Autre cadre (secteur privé);Renaissance;RE
795240;Mereana;Reid Arbelot;Polynésie française;Polynésie Française;3;ingénieur en chef du contrôle de la navigation aérienne;Gauche démocrate et républicaine - NUPES;GDR - NUPES
719814;Fabienne;Colboc;Centre-Val de Loire;Indre-et-Loire;4;Industriel-Chef d'entreprise;Renaissance;RE
793374;Romain;Baubry;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône;15;Policier et militaire;Rassemblement National;RN
795108;Élise;Leboucher;Pays de la Loire;Sarthe;4;Educatrice spécialisée;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
643048;Virginie;Lanlo;Ile-de-France;Hauts-de-Seine;8;SANS PROFESSION DÉCLARÉE;Renaissance;RE
794234;François;Gernigon;Pays de la Loire;Maine-et-Loire;1;Ancien cadre;Horizons et apparentés;HOR
721466;Gilles;Le Gendre;Ile-de-France;Paris;2;Industriel-Chef d'entreprise;Renaissance;RE
793796;David;Taupiac;Occitanie;Gers;2;Consultant aéronautique;Libertés, Indépendants, Outre-mer et Territoires;LIOT
719672;Philippe;Sorez;Occitanie;Hérault;1;Cadre commercial dans l'industrie et le bâtiment;Renaissance;RE
793158;José;Beaurain;Hauts-de-France;Aisne;4;Artisan;Rassemblement National;RN
796018;Danielle;Simonnet;Ile-de-France;Paris;15;Professeur, profession scientifique;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
721234;Maud;Petit;Ile-de-France;Val-de-Marne;4;Chargée de ressources humaines;Démocrate (MoDem et Indépendants);Dem
793792;Laurent;Esquenet-Goxes;Occitanie;Haute-Garonne;10;Informaticien;Démocrate (MoDem et Indépendants);Dem
721046;Nathalie;Bassire;Réunion;Réunion;3;Retraitée de l'enseignement;Libertés, Indépendants, Outre-mer et Territoires;LIOT
332523;Marie-Christine;Dalloz;Bourgogne-Franche-Comté;Jura;2;;Les Républicains;LR
605991;Annie;Genevard;Bourgogne-Franche-Comté;Doubs;5;Professeur du secondaire;Les Républicains;LR
795176;Nicolas;Metzdorf;Nouvelle-Calédonie;Nouvelle-Calédonie;2;Ingénieur et cadre technique d'entreprise;Renaissance;RE
719664;Pascal;Lavergne;Nouvelle-Aquitaine;Gironde;12;Ingénieur-Agriculteur;Renaissance;RE
720256;Géraldine;Bannier;Pays de la Loire;Mayenne;2;Professeur du secondaire et technique;Démocrate (MoDem et Indépendants);Dem
719640;Sophie;Mette;Nouvelle-Aquitaine;Gironde;9;Sans profession déclarée;Démocrate (MoDem et Indépendants);Dem
796090;Aymeric;Caron;Ile-de-France;Paris;18;Profession de l'information, des arts et des spectacles;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
774960;Isabelle;Santiago;Ile-de-France;Val-de-Marne;9;Cadre territorial;Socialistes et apparentés;SOC
722358;Thomas;Gassilloud;Auvergne-Rhône-Alpes;Rhône;10;Industriel-Chef d'entreprise;Renaissance;RE
793736;Hadrien;Clouet;Occitanie;Haute-Garonne;1;Sociologue;La France insoumise - Nouvelle Union Populaire écologique et sociale;LFI - NUPES
795330;Eléonore;Caroit;Français établis hors de France;Français établis hors de France;2;Avocate;Renaissance;RE
794930;Sarah;Tanzilli;Auvergne-Rhône-Alpes;Rhône;13;Cadre administratif;Renaissance;RE
793664;Marie;Pochon;Auvergne-Rhône-Alpes;Drôme;3;Responsable associative;Écologiste - NUPES;Ecolo - NUPES
267780;Agnès;Firmin Le Bodo;Normandie;Seine-Maritime;7;Pharmacien;Horizons et apparentés;HOR
721182;Frédéric;Petit;Français établis hors de France;Français établis hors de France;7;Ingénieur;Démocrate (MoDem et Indépendants);Dem
757225;Mikaele;Seo;Wallis-et-Futuna;Wallis-et-Futuna;1;Profession intermédiaire administrative de la fonction publique;Renaissance;RE
794802;Charles;Sitzenstuhl;Grand Est;Bas-Rhin;5;Cadre de la fonction publique;Renaissance;RE
795120;Marina;Ferrari;Auvergne-Rhône-Alpes;Savoie;1;Cadre administratif et commercial d'entreprise;Démocrate (MoDem et Indépendants);Dem